Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,crypto1,general1,java1,networking1,crypto2,general2,java2,networking2,cosine_similarity,class
35992,34999,18.49,15.85,0.0,1.0,1.0,1.0,0.0,6.73,19.27,14.33,12.77,13.34,25.47,18.7,19.76,0.993,dup
35992,33964,6.59,3.94,0.0,1.0,1.0,1.0,0.0,6.73,19.27,14.33,12.77,17.53,30.83,23.04,21.71,0.991,dup
35992,33789,48.1,66.96,0.0,0.0,1.0,1.0,0.0,6.73,19.27,14.33,12.77,10.56,28.03,15.43,16.96,0.992,dup
35988,35064,7.83,0.0,0.0,0.0,1.0,1.0,0.0,18.53,22.56,17.18,17.06,39.5,44.67,39.44,40.14,0.998,dup
35972,35971,36.21,54.45,0.0,0.0,1.0,1.0,0.0,20.66,27.46,16.26,16.93,20.66,27.46,16.26,16.93,1.0,dup
35944,35880,5.88,5.68,0.0,0.0,1.0,1.0,0.2,15.05,25.03,16.42,21.86,18.3,23.34,17.33,18.88,0.993,dup
35944,35715,9.22,2.79,0.0,0.0,1.0,1.0,0.0,15.05,25.03,16.42,21.86,11.81,21.7,14.28,20.58,0.998,dup
35944,35714,3.34,2.79,0.0,0.0,1.0,1.0,0.0,15.05,25.03,16.42,21.86,14.15,18.92,13.02,14.66,0.994,dup
35880,35715,4.58,2.33,0.0,0.0,1.0,1.0,0.2,18.3,23.34,17.33,18.88,11.81,21.7,14.28,20.58,0.985,dup
35880,35714,14.34,17.7,0.0,0.0,1.0,1.0,0.2,18.3,23.34,17.33,18.88,14.15,18.92,13.02,14.66,1.0,dup
35823,35264,7.95,3.01,0.0,0.0,1.0,1.0,0.0,18.47,25.18,19.63,17.55,21.4,27.22,24.15,23.93,0.996,dup
35759,35653,2.16,1.11,0.0,0.0,1.0,1.0,0.0,20.2,29.59,22.43,24.89,18.83,26.94,19.49,20.33,0.999,dup
35759,35414,10.07,7.26,0.0,0.0,1.0,1.0,0.0,20.2,29.59,22.43,24.89,13.91,26.9,19.69,17.31,0.992,dup
35759,34880,3.64,1.82,0.0,0.0,1.0,1.0,0.0,20.2,29.59,22.43,24.89,11.73,24.01,18.08,20.36,0.994,dup
35715,35714,6.53,7.48,0.0,0.0,1.0,1.0,0.0,11.81,21.7,14.28,20.58,14.15,18.92,13.02,14.66,0.986,dup
35653,35414,4.79,0.0,0.0,0.0,1.0,1.0,0.0,18.83,26.94,19.49,20.33,13.91,26.9,19.69,17.31,0.993,dup
35653,34880,4.09,2.32,0.0,0.0,1.0,1.0,0.0,18.83,26.94,19.49,20.33,11.73,24.01,18.08,20.36,0.99,dup
35518,34890,14.98,17.79,0.0,1.0,0.0,1.0,0.0,16.07,32.98,25.05,24.39,21.0,36.94,27.67,25.95,0.998,dup
35506,34999,11.94,7.61,0.0,1.0,1.0,1.0,0.0,12.02,22.52,18.27,15.11,13.34,25.47,18.7,19.76,0.996,dup
35506,33964,6.7,8.82,0.0,1.0,1.0,1.0,0.0,12.02,22.52,18.27,15.11,17.53,30.83,23.04,21.71,0.999,dup
35506,33789,17.35,31.96,0.0,0.0,1.0,1.0,0.0,12.02,22.52,18.27,15.11,10.56,28.03,15.43,16.96,0.986,dup
35500,34170,7.65,2.13,0.0,1.0,1.0,1.0,0.0,23.46,37.43,31.68,30.02,14.94,22.64,20.02,21.82,0.997,dup
35499,35498,20.41,28.57,0.0,0.0,1.0,1.0,0.0,22.89,28.98,23.23,23.07,15.48,17.64,13.82,14.7,0.999,dup
35494,35247,16.56,9.66,0.0,0.0,1.0,1.0,0.67,14.63,23.18,19.26,23.49,13.79,26.13,17.77,22.48,0.996,dup
35422,34686,4.79,0.0,0.0,1.0,1.0,1.0,0.0,23.32,32.46,27.68,26.88,24.34,36.34,31.67,30.37,1.0,dup
35414,34880,2.64,0.0,0.0,0.0,1.0,1.0,0.0,13.91,26.9,19.69,17.31,11.73,24.01,18.08,20.36,0.993,dup
35401,35400,37.53,69.9,0.0,0.0,1.0,1.0,0.0,10.71,16.16,12.4,16.95,10.71,16.16,12.4,16.95,1.0,dup
35397,35395,31.44,51.84,0.0,0.0,1.0,1.0,0.3,21.96,25.53,18.43,22.22,22.45,25.5,19.16,22.69,1.0,dup
35328,24326,18.98,38.74,0.0,1.0,1.0,1.0,0.0,18.73,26.27,19.58,21.06,13.9,24.11,18.64,17.77,0.996,dup
35280,34303,13.91,3.99,0.0,1.0,1.0,1.0,0.05,18.25,31.3,27.95,23.79,15.16,25.84,18.58,24.14,0.989,dup
35234,35233,18.17,52.69,0.0,1.0,1.0,1.0,0.0,7.7,13.8,13.06,11.69,7.7,13.8,13.06,11.69,1.0,dup
35107,34858,3.51,0.52,0.0,1.0,0.0,1.0,0.0,21.75,30.35,29.17,26.22,11.97,23.12,21.44,17.78,0.995,dup
35099,34696,12.92,3.97,0.0,1.0,1.0,1.0,0.0,14.37,25.5,20.42,19.69,26.13,37.82,30.37,26.38,0.996,dup
35099,34630,10.62,3.96,0.0,1.0,1.0,1.0,0.0,14.37,25.5,20.42,19.69,20.47,36.23,26.6,29.76,0.999,dup
35040,34989,6.9,0.0,0.0,0.0,1.0,1.0,0.0,7.36,10.01,11.19,4.98,10.95,18.25,18.45,13.84,0.984,dup
35040,28300,6.32,0.0,0.0,0.0,1.0,1.0,0.0,7.36,10.01,11.19,4.98,12.18,23.83,16.36,12.54,0.973,dup
35040,21000,6.37,0.0,0.0,0.0,1.0,1.0,0.0,7.36,10.01,11.19,4.98,11.12,19.18,15.66,17.65,0.951,dup
35040,8375,5.63,0.0,0.0,0.0,1.0,1.0,0.0,7.36,10.01,11.19,4.98,14.81,27.59,27.45,24.7,0.965,dup
34999,33964,5.34,5.91,0.0,1.0,1.0,1.0,0.0,13.34,25.47,18.7,19.76,17.53,30.83,23.04,21.71,0.999,dup
34999,33789,36.98,53.43,0.0,0.0,1.0,1.0,0.0,13.34,25.47,18.7,19.76,10.56,28.03,15.43,16.96,0.99,dup
34989,28300,5.23,0.0,0.0,0.0,1.0,1.0,0.0,10.95,18.25,18.45,13.84,12.18,23.83,16.36,12.54,0.984,dup
34989,21000,2.01,0.0,0.0,0.0,1.0,1.0,0.0,10.95,18.25,18.45,13.84,11.12,19.18,15.66,17.65,0.989,dup
34989,8375,4.29,0.0,0.0,0.0,1.0,1.0,0.0,10.95,18.25,18.45,13.84,14.81,27.59,27.45,24.7,0.996,dup
34955,32562,1.37,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,2.24,4.05,4.05,4.05,0.985,dup
