bugid,c1,c2,c3,c4,c5,c6
37543,3.1112,1.9681,1.5088,2.3231,1.0031,3.6194
37542,4.8072,0.0,3.4094,1.1519,2.1511,9.5641
37541,0.9139,0.0,0.0,0.9139,0.0,0.0
37540,4.8442,2.7791,3.0693,1.6766,0.8417,4.1063
37539,2.005,0.8618,1.5088,1.2168,1.0031,2.5132
37538,2.4436,3.0073,1.9589,2.6771,0.0,2.6771
37537,0.0,0.0,0.0,1.3706,1.3706,1.3706
37536,4.9655,1.6267,0.758,4.2928,0.0,4.4276
37535,2.9455,2.3645,2.5967,3.4309,0.4676,5.1865
37534,1.8523,2.7211,2.6505,1.6064,0.2573,5.1391
37533,6.2918,2.3259,1.5928,2.9274,0.3423,4.3793
37532,2.5811,0.557,6.972,0.8564,0.0,3.5412
37531,5.6187,2.8723,2.3661,4.9033,0.6705,6.5144
37530,2.6937,2.2874,2.0282,2.2874,0.0,6.025
37529,3.1688,1.1102,0.957,3.7191,0.0,6.6527
37528,2.7467,0.0,1.7093,0.0,3.0364,7.3513
37527,2.3631,1.373,0.9719,1.1021,0.9719,6.2074
37526,2.3631,1.373,0.9719,1.1021,0.9719,6.2074
37525,4.7081,5.4627,0.0,3.1245,0.0,0.5679
37524,1.0735,2.3532,1.3166,1.853,1.0826,3.3171
37523,3.2704,0.0,0.822,2.307,0.0,5.2012
37522,3.7292,0.6611,3.2343,3.0515,1.2821,6.4358
37521,1.1058,1.1058,0.0,1.1058,0.0,0.0
37520,3.2486,1.1456,3.5839,1.8677,0.6431,2.8622
37519,7.3154,3.9816,3.6833,2.2585,2.0806,3.0468
37518,2.586,0.0,2.899,2.9579,0.0,4.5772
37517,5.3311,0.6471,0.7644,0.8415,0.5005,6.7466
37516,0.0,2.0304,3.5157,1.1549,0.0,3.761
37515,0.8908,1.2891,0.8131,0.4502,0.2778,1.4265
37514,1.3246,0.9591,3.4085,1.3246,1.1482,2.0164
37513,2.5927,2.0885,2.9355,1.3456,0.7181,5.0789
37512,2.4487,0.7419,1.1429,2.4487,1.1429,4.4314
37511,4.0707,0.3669,2.1477,6.4203,2.6337,9.5629
37510,4.6948,0.0,1.4799,3.1116,1.3713,5.0541
37509,3.1843,1.5501,5.635,2.4159,0.0,8.23
37508,7.4528,0.7965,0.8445,3.5873,0.4494,6.3248
37507,4.3811,2.148,5.6889,2.7935,2.3957,4.49
37506,2.4401,0.3533,2.0604,2.5943,0.0,2.5734
37505,4.7026,0.0,0.0,0.8005,0.0,2.3613
37504,0.0,0.0,0.0,0.0,0.0,0.0
37503,1.0346,0.0,1.2936,0.0,0.0,3.5312
37502,2.985,0.2423,2.113,2.0327,1.8035,5.9661
37501,3.0014,0.5767,4.4675,1.486,1.4741,6.6616
37500,5.5813,1.7257,1.9208,1.3126,1.6752,6.7099
37499,8.0826,4.0009,3.3325,2.744,0.2672,2.9661
37498,4.7165,0.6749,1.7317,4.9756,0.489,9.0851
37497,5.6564,0.0,1.9971,3.5254,0.4811,5.7932
37496,1.2821,1.2649,1.438,2.6076,0.0,1.438
37495,2.005,0.8618,1.5088,1.2168,1.0031,2.5132
37494,3.4132,2.0522,2.0182,5.1752,1.2794,6.0807
37493,2.8121,2.171,1.4119,2.0629,1.4903,9.6348
37492,2.1571,1.2155,0.4256,2.0927,0.99,5.0494
37491,3.4838,1.5688,1.1061,3.8957,1.6506,2.1225
37490,4.4034,1.7622,1.9695,5.3227,1.0055,4.9067
37489,1.9749,0.6933,2.8103,2.441,0.807,4.0638
37488,1.8078,0.1335,2.1333,1.159,1.0488,5.3346
37487,1.4673,1.8606,1.2642,1.7462,0.6425,0.6237
37486,1.8417,0.0,4.4186,1.8417,0.0,0.9785
37485,2.8104,0.8336,2.0415,1.4297,0.0,5.4013
37484,2.637,3.7099,0.9898,1.9679,0.7425,7.3396
37483,1.929,1.3168,0.6121,1.929,0.0,1.929
37482,7.0769,2.4525,4.3304,4.752,2.8719,5.2159
37481,3.7123,0.0,0.5109,1.6727,0.5109,2.6772
37480,2.7767,1.6335,3.0711,3.5508,1.0031,3.2848
37479,7.7565,2.079,2.7915,4.6624,2.2998,2.5633
37478,3.8795,0.8618,1.5088,2.0497,1.0031,3.346
37477,3.8795,0.8618,1.5088,2.0497,1.0031,3.346
37476,4.2889,1.9305,3.2347,2.2353,0.4445,6.4364
37475,6.3263,0.8123,2.7815,2.6447,0.0,6.4182
37474,6.0108,0.968,1.964,1.6842,0.0,5.2706
37473,3.2907,0.6676,3.8384,2.6323,1.9387,5.7299
37472,0.7495,1.0683,1.4534,0.7846,0.1785,6.8904
37471,4.0298,0.0,3.347,0.0,0.748,3.5598
37470,2.5903,2.3011,5.8176,4.336,0.813,9.9119
37469,5.4731,0.0,7.1997,2.0762,3.0654,10.5082
37468,2.3968,1.6972,0.5365,2.1928,0.2107,3.3585
37467,5.0184,1.4518,4.3276,0.6207,2.0876,4.468
37466,4.8295,0.0,1.7373,1.7703,0.0,4.4823
37465,4.1982,1.9998,2.3976,0.9651,0.4665,4.8663
37464,0.7576,0.0,0.0,2.0266,1.269,3.4248
37463,3.1452,2.067,5.7461,6.0848,0.3647,9.3881
37462,2.9301,1.8983,4.9131,4.7549,0.0,4.9637
37461,1.3581,0.3256,3.3228,0.6688,0.0,5.788
37460,4.1709,0.0,0.7112,1.2973,1.8909,2.4907
37459,6.9031,0.0,4.0033,3.3962,1.4722,9.7403
37458,3.6041,2.333,5.6037,3.9474,1.6181,8.0605
37457,6.0515,2.1297,0.9538,3.921,1.1425,6.1728
37456,2.0809,1.5581,2.3298,2.8416,0.0,2.6028
37455,0.7713,0.0,0.7713,0.7713,0.0,1.6327
37454,4.0871,3.4706,3.4768,5.0885,0.0,3.3232
37453,3.8749,1.4824,3.6548,2.6593,0.5373,5.0187
37452,1.5319,2.8412,2.2129,2.2129,1.1317,7.1966
37451,0.9943,0.9125,0.8321,1.6615,0.8321,4.6407
37450,4.6364,2.2143,4.7206,4.6646,1.6349,4.3289
37449,2.005,0.8618,1.5088,2.6144,1.0031,3.9108
37448,4.4883,3.8856,3.0242,0.6926,0.0,7.2224
37447,5.3626,0.0,5.3789,3.9197,1.3376,6.9063
37446,1.3071,0.0,4.5271,0.0,0.0,5.0315
37445,4.749,2.0572,1.5317,2.6373,0.0,2.1849
37444,3.1148,1.1329,1.8348,4.2677,0.7979,5.9028
37443,4.4857,0.4666,1.4491,3.9452,2.445,3.9359
37442,2.8322,0.0,3.0165,2.2741,0.4152,4.591
37441,5.5904,1.5666,4.4588,4.1181,2.9545,4.6989
37440,0.7955,0.0,0.7955,0.9071,0.0,0.7501
37439,7.4165,0.4877,3.8019,0.4877,0.8928,6.3359
37438,0.9461,0.0,1.831,0.9461,0.0,1.0528
37437,10.7266,3.8533,3.472,5.8661,1.758,5.8619
37436,3.9951,3.3943,1.4968,6.8884,0.4457,7.1624
37435,2.7585,1.0698,6.1872,3.4456,3.0448,6.4214
37434,2.5371,1.1863,2.3559,2.7351,0.859,6.3564
37433,2.943,0.0,3.7857,3.6585,0.9463,6.5817
37432,5.7938,0.4487,4.4756,4.6503,4.3765,11.4249
37431,2.0425,1.0439,3.6875,4.8871,0.761,8.6465
37430,2.4906,0.399,0.1754,2.6501,0.35,2.1844
37429,1.0733,0.8805,0.668,0.5161,0.1579,1.4418
37428,4.1661,3.233,4.6987,3.9754,1.8564,6.2717
37427,2.1115,1.9729,1.2298,3.1213,0.0,4.3275
37426,1.356,2.247,2.3159,3.341,0.9868,3.9788
37425,5.5547,0.8185,2.8129,3.0123,1.2694,5.5968
37424,3.4582,3.2856,1.2209,3.7861,0.0,3.8791
37423,8.5131,3.3031,8.3141,4.79,3.6794,6.8797
37422,7.4306,1.0157,1.0147,4.7294,2.2901,4.3189
37421,8.775,1.2401,6.0379,6.3425,3.294,7.6795
37420,1.9447,0.9985,4.2333,4.0832,3.0847,4.0832
37419,5.1009,2.0186,5.6355,4.8642,1.2619,10.505
37418,2.8091,0.0,2.1125,1.5762,0.8897,4.3264
37417,5.3778,2.2135,5.223,6.2867,2.4826,10.3729
37416,3.6658,3.0331,0.0,2.0313,0.0,5.6193
37415,1.9291,1.0715,3.4253,3.4545,0.8576,6.5396
37414,1.0718,1.4213,4.0735,2.3178,2.4232,5.6158
37413,0.816,2.3655,0.6658,1.7763,0.0,5.5881
37412,5.6014,3.158,1.9335,2.0963,0.7167,6.6877
37411,4.6815,1.7808,3.2552,3.8848,0.8281,4.7112
37410,1.962,2.5515,1.2487,2.577,0.0,2.2018
37409,5.2849,0.0,3.6769,4.6513,0.6137,4.6444
37408,1.0021,2.1702,4.2122,4.5006,0.5968,1.7492
37407,2.9782,1.6975,2.5834,1.0077,0.9126,2.7695
37406,1.6765,2.4394,1.4508,4.7099,1.027,3.0722
37405,3.5478,0.8662,2.2602,1.8742,2.1565,7.9744
37404,6.5855,2.9002,3.3033,8.8044,1.9619,5.4001
37403,4.4998,0.6936,1.589,2.7398,0.0,3.8243
37402,3.2419,0.0,0.0,1.4344,0.0,2.0079
37401,5.3147,1.831,2.3551,10.0912,0.0,6.788
37400,0.8337,0.0,0.0,0.0,0.0,1.1923
37399,2.3285,1.0504,2.7626,2.2714,0.7886,4.4729
37398,0.9807,0.0,0.0,1.273,0.0,1.273
37397,2.2395,0.912,2.2025,2.515,0.589,2.9525
37396,3.3703,0.5829,1.0204,1.3168,1.7889,5.3304
37395,6.3079,1.5987,4.4595,3.9753,1.7221,6.0668
37394,0.6171,0.0,0.0,0.0,0.0,2.9586
37393,4.1098,0.0,3.1853,4.4844,2.2058,7.0738
37392,2.8781,2.1032,0.4131,1.6302,0.4846,1.3034
37391,2.2884,1.385,2.3706,0.0,0.0,2.5324
37390,5.5528,0.0,0.0,1.0132,0.0,5.2963
37389,2.2805,0.7812,3.0581,1.8193,0.8355,3.0888
37388,6.7882,0.694,2.6579,2.0155,1.3842,9.5136
37387,2.5773,1.2834,0.3849,1.2494,0.579,3.8602
37386,3.4875,0.6959,2.8365,3.5122,1.7191,6.7182
37385,3.2671,1.6248,2.143,1.851,1.0031,3.324
37384,3.3264,1.6606,2.1728,1.8808,1.0031,3.3621
37383,7.8593,0.4457,4.8849,1.6804,0.0,7.1595
37382,2.4921,1.3983,2.4941,0.6629,0.0,4.6125
37381,2.3664,0.0,2.4745,3.1394,0.0,3.8915
37380,6.9849,0.683,0.0,1.0801,0.5118,8.4959
37379,2.6982,3.5812,0.9238,2.6574,0.0,2.1791
